"sf__Id","sf__Created",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"a08RB00001Z1G6NYAV","true","JR九州コンサルタンツ株式会社","105600.0","月","001RB00001VTqnyYAD","003RB00001NsUI8YAN","","","","","8800.0","","","Closed Won","2025-11-14","","","",""
"a08RB00001Z1G6OYAV","true","ハゼモト建設株式会社","726000.0","月","001RB00001VTqyAYAT","003RB00001NsViCYAV","","","","","60500.0","","","Closed Won","2025-11-17","","","",""
"a08RB00001Z1G6PYAV","true","(株)ビ・ハウス","528000.0","月","001RB00001VTqyTYAT","003RB00001NsWwyYAF","","","","","44000.0","2025-11-17","","Closed Lost","","","","",""
"a08RB00001Z1G6QYAV","true","株式会社IAO竹田設計 の取引","0.0","月","001RB00001VTr0JYAT","","","","","","0.0","","","Closed Lost","","","","",""
"a08RB00001Z1G6RYAV","true","イナバインターナショナル株式会社 の取引","900000.0","月","001RB00001VTr0MYAT","003RB00001NsVidYAF","","","","","75000.0","","","Closed Lost","","","","",""
"a08RB00001Z1G6SYAV","true","株式会社THREE","211200.0","月","001RB00001VTr0KYAT","003RB00001NsVibYAF","","","","","17600.0","","","Closed Won","2025-11-21","","","",""
"a08RB00001Z1G6TYAV","true","株式会社オフィスネット","211200.0","月","001RB00001VTrFnYAL","","","","","","17600.0","","","Prospecting","","","","",""
"a08RB00001Z1G6UYAV","true","株式会社エドケンハウス の取引","0.0","月","001RB00001VTrFoYAL","","","","2026-03-02","Budget shortage - initial or migration cost","0.0","","","Closed Lost","2026-03-02","","","",""
"a08RB00001Z1G6VYAV","true","株式会社スタジオ・ノア の取引","105600.0","月","001RB00001VTrFpYAL","003RB00001NsWx3YAF","","","","","8800.0","","","Prospecting","","","","",""
"a08RB00001Z1G6WYAV","true","株式会社アイリン の取引","211200.0","月","001RB00001VTqnPYAT","003RB00001NsVigYAF","","","","","17600.0","","","Prospecting","","","","",""
"a08RB00001Z1G6XYAV","true","三井住友建設 の取引","105600.0","月","001RB00001VTqeXYAT","","","","","","8800.0","2026-03-17","","Closed Won","2026-03-24","","","",""
"a08RB00001Z1G6YYAV","true","株式会社エサキホーム の取引","0.0","月","001RB00001VTrFqYAL","003RB00001NsViiYAF","","","","","0.0","","","ValueProposition","","","","",""
"a08RB00001Z1G6ZYAV","true","株式会社ケン・プロパティマネジメント","145200.0","月","001RB00001VTrGkYAL","","","","","","12100.0","","","Closed Won","2025-11-28","","","",""
"a08RB00001Z1G6aYAF","true","株式会社エドケンハウス","105600.0","月","001RB00001VTrFoYAL","","","","","","8800.0","","","Prospecting","","","","",""
"a08RB00001Z1G6bYAF","true","創建ホーム株式会社","1008000.0","月","001RB00001VTrm3YAD","","","2026-04-30","","","84000.0","2026-03-03","","Closed Won","2026-06-04","","","",""
"a08RB00001Z1G6cYAF","true","株式会社中村不動産開発","145200.0","月","001RB00001VTrGlYAL","003RB00001NsVoeYAF","","","","","12100.0","","","Closed Won","2025-12-08","","","",""
"a08RB00001Z1G6dYAF","true","オフィスコム株式会社","211200.0","月","001RB00001VTrGnYAL","003RB00001NsWx6YAF","","2026-03-01","","","17600.0","2026-02-09","","ValueProposition","","","","",""
"a08RB00001Z1G6eYAF","true","株式会社丹青社","316800.0","月","001RB00001VTr2tYAD","","","2026-07-01","","","26400.0","2025-12-16","","ValueProposition","","","","",""
"a08RB00001Z1G6fYAF","true","田中土建工業株式会社","844800.0","月","001RB00001VTqnhYAD","","","","","","70400.0","","","Prospecting","","","","",""
"a08RB00001Z1G6gYAF","true","東急株式会社","0.0","月","001RB00001VTrs0YAD","","","","","","0.0","","","ValueProposition","","","","",""
